제작사,제원관리번호,차명,연식,제작일자,셀 간 균형,평균전압_OCV_meas,SOC_calc,사용연수(t),캘린더 열화(△Q_cal),사이클 열화(△Q_cyc),SoH_pred(%),취득원가,연간감가비,조정연간감가비,중고거래가격
기아 주식회사,A0110007300031221,EV6,2022,2021-12-21,우수,4.062333333,93.99688609,3.575,0.037815341,0.054599672,90.75849869,"₩25,400,000 ","₩4,540,250 ","₩5,002,562 ","₩20,397,438 "
기아 주식회사,A0110007300031221,EV6,2022,2021-10-26,우수,4.06,93.93303142,3.727777778,0.038614908,0.115858171,84.55269212,"₩25,400,000 ","₩4,734,278 ","₩5,599,204 ","₩19,800,796 "
기아 주식회사,A0110007300061221,EV6,2022,2021-11-16,우수,4.06,93.93303142,3.672222222,0.038326086,0.12439683,83.72770839,"₩25,400,000 ","₩4,663,722 ","₩5,570,106 ","₩19,829,894 "
기아 주식회사,A0110007300071221,EV6,2022,2021-11-10,우수,4.06,93.93303142,3.688888889,0.038412961,0.089856209,87.17308306,"₩25,400,000 ","₩4,684,889 ","₩5,374,238 ","₩20,025,762 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-09,우수,4.06,93.93303142,3.608333333,0.037991227,0.057867124,90.41416489,"₩25,400,000 ","₩4,582,583 ","₩5,068,435 ","₩20,331,565 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-20,우수,4.06,93.93303142,3.577777778,0.037830029,0.09552099,86.66489804,"₩25,400,000 ","₩4,543,778 ","₩5,242,928 ","₩20,157,072 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-04,우수,4.06,93.93303142,3.705555556,0.038499639,0.116418591,84.50817695,"₩25,400,000 ","₩4,706,056 ","₩5,568,758 ","₩19,831,242 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-20,우수,4.06,93.93303142,3.577777778,0.037830029,0.059990115,90.21798561,"₩25,400,000 ","₩4,543,778 ","₩5,036,443 ","₩20,363,557 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-20,우수,4.06,93.93303142,3.577777778,0.037830029,0.111785819,85.03841517,"₩25,400,000 ","₩4,543,778 ","₩5,343,206 ","₩20,056,794 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-14,우수,4.06,93.93303142,3.594444444,0.03791804,0.089382425,87.26995343,"₩25,400,000 ","₩4,564,944 ","₩5,230,832 ","₩20,169,168 "
